Id,Sales
1,6676.097
2,7736.782
3,9210.952
4,6577.428
5,6386.085
6,5441.857
7,6520.786
8,8194.246
9,6059.35
10,5481.899
11,8053.086
12,7153.3574
13,7040.5396
14,7914.3467
15,6413.7026
16,4928.837
17,6242.4365
18,8511.976
19,8192.094
20,7564.6304
21,6817.325
22,6571.197
23,6250.4287
24,3973.8599
25,7178.35
26,8812.6
27,8635.858
28,5699.147
29,4809.839
30,6417.343
31,7039.094
32,9821.942
33,6804.3477
34,5680.0034
35,5088.962
36,7658.9834
37,5433.8613
38,7154.4966
39,5509.695
40,6543.9067
41,9374.116
42,5527.6094
43,7525.342
44,6741.0264
45,6212.1455
46,5719.7163
47,7151.5166
48,10989.007
49,6714.809
50,8579.653
51,8538.867
52,9868.974
53,5799.9834
54,9592.365
55,5656.458
56,7593.1113
57,6681.519
58,6569.6357
59,8810.497
60,9713.9795
61,5660.7915
62,7818.757
63,5191.0093
64,8786.418
65,5747.6665
66,10420.806
67,5426.2026
68,5585.5317
69,7016.199
70,6016.8755
71,7148.364
72,6444.4087
73,8334.001
74,4871.8345
75,5959.2373
76,6736.9736
77,6702.448
78,7396.063
79,5417.3896
80,5927.7783
81,9120.6045
82,8555.234
83,4921.083
84,7954.888
85,6097.1567
86,6734.445
87,8823.107
88,5576.6934
89,7902.309
90,7094.435
91,7546.702
92,6840.9355
93,5421.4263
94,6263.8403
95,5156.2183
96,7112.3003
97,6600.0854
98,5983.4736
99,6554.0674
100,6917.609
101,7487.861
102,6692.851
103,5849.9326
104,6313.1313
105,7279.464
106,6677.69
107,6351.5796
108,4829.414
109,8506.207
110,6986.6304
111,7093.7617
112,7873.508
113,5933.9326
114,9750.67
115,6353.946
116,7287.3203
117,8763.1875
118,6604.2744
119,9050.023
120,9201.979
121,6243.8457
122,6406.967
123,7328.1904
124,8061.603
125,5726.602
126,5055.082
127,7187.6577
128,8143.9053
129,6316.8486
130,5335.873
131,6359.961
132,6522.7095
133,6812.6777
134,6155.4087
135,6368.0117
136,12473.004
137,7376.281
138,6336.3755
139,6622.3643
140,8245.122
141,6659.8223
142,5183.8
143,8564.388
144,6491.541
145,7772.826
146,5357.926
147,5561.7446
148,8642.496
149,6962.9087
150,8786.887
151,13084.408
152,7361.3
153,7359.9316
154,5917.4053
155,5756.955
156,6286.687
157,5961.2085
158,7609.5522
159,7768.845
160,7235.0923
161,4136.795
162,8244.019
163,8070.968
164,7645.371
165,6089.7925
166,6992.073
167,6110.1035
168,7379.4434
169,4441.6143
170,6382.8047
171,6817.276
172,6777.1943
173,7039.5884
174,6674.039
175,7782.958
176,9570.467
177,6691.449
178,6509.8506
179,6726.9155
180,8666.365
181,5105.139
182,7870.535
183,5922.769
184,5924.8394
185,6624.6304
186,8536.923
187,4219.0444
188,11459.913
189,7155.755
190,8171.624
191,8621.352
192,7019.988
193,7416.642
194,13292.518
195,9687.785
196,7872.062
197,3989.6855
198,6395.198
199,7788.061
200,6841.713
201,15272.332
202,18157.613
203,6945.2236
204,6537.4766
205,8193.997
206,3737.2131
207,9519.859
208,6029.858
209,7803.971
210,5013.881
211,7369.2163
212,7522.494
213,8811.831
214,7189.62
215,5915.6084
216,6739.601
217,5203.6816
218,6197.1616
219,6924.435
220,8005.322
221,6267.29
222,5658.191
223,5878.459
224,5741.9756
225,6108.7456
226,7195.5913
227,5843.8984
228,8254.007
229,6870.392
230,6813.2715
231,7825.9
232,6770.5967
233,6721.788
234,6765.6465
235,6267.861
236,5779.5693
237,9981.006
238,6891.1733
239,6552.9883
240,9821.193
241,6614.5356
242,5524.365
243,5481.7036
244,8101.1714
245,5397.447
246,8239.239
247,11830.847
248,7794.6494
249,6711.6587
250,6737.558
251,6704.239
252,5980.8228
253,5972.0703
254,7371.605
255,7520.8223
256,7514.41
257,17048.387
258,8984.335
259,6875.5054
260,6244.284
261,6581.5195
262,7646.5996
263,7461.317
264,11753.632
265,8404.521
266,7588.338
267,6143.176
268,7618.0425
269,6544.5376
270,7957.6143
271,7475.451
272,7424.9243
273,7527.682
274,8392.642
275,8365.995
276,9806.607
277,6052.7144
278,5586.3027
279,7761.3457
280,8117.164
281,4758.8325
282,6394.076
283,7678.006
284,8853.567
285,6552.4937
286,7456.44
287,6728.873
288,7192.5625
289,7998.21
290,8607.074
291,9667.044
292,7987.767
293,7599.004
294,12660.151
295,7264.836
296,8040.3677
297,7332.806
298,6685.6714
299,9727.288
300,7117.9326
301,6656.5107
302,5760.082
303,7290.197
304,4092.5105
305,6449.613
306,5893.654
307,6032.111
308,7242.8955
309,6943.859
310,7599.998
311,7402.37
312,7029.7227
313,6699.475
314,6472.1636
315,6461.7397
316,9120.953
317,7450.426
318,10510.168
319,6566.625
320,6961.9126
321,8616.33
322,7517.5044
323,6580.7627
324,6333.649
325,7963.8643
326,7557.046
327,6851.98
328,6122.6274
329,6404.8467
330,7978.5317
331,5926.395
332,7503.343
333,7643.2754
334,8257.928
335,8933.954
336,6816.6567
337,8167.4634
338,6293.754
339,6246.9
340,8149.269
341,7063.783
342,6273.0176
343,6913.5093
344,9811.2705
345,9365.448
346,10142.409
347,9531.157
348,7163.299
349,6176.712
350,9585.868
351,7413.6387
352,12029.551
353,9414.401
354,7056.4697
355,9930.556
356,6633.823
357,6569.6875
358,7221.519
359,7695.308
360,10425.918
361,6100.013
362,11932.051
